feat_avg_cluster_size,feat_color_entropy,feat_density,feat_floating_potential,feat_max_chain_depth,feat_shot_pressure,level_id,medium_clear_rate,medium_eac,medium_eac_all,seed,strong_clear_rate,strong_eac,strong_eac_all,weak_clear_rate,weak_eac,weak_eac_all
1.4666666666666666,1.7474594241169754,0.55,0.7058823529411765,10.0,0.3181818181818182,L000,0.8166666666666667,17.53061224489796,22.016666666666666,1000,0.9666666666666667,18.120689655172413,18.916666666666668,0.7166666666666667,20.86046511627907,26.85
2.0952380952380953,1.5204387619727124,0.55,1.4393939393939394,7.0,0.3181818181818182,L001,0.8666666666666667,13.73076923076923,17.5,1001,0.9833333333333333,8.11864406779661,8.683333333333334,0.7833333333333333,18.893617021276597,23.9
1.2727272727272727,1.8866160062705302,0.525,0.7013888888888888,11.0,0.3333333333333333,L002,0.7,21.785714285714285,27.85,1002,0.9833333333333333,18.084745762711865,18.483333333333334,0.65,26.76923076923077,32.1
1.4,1.9727783908005376,0.4375,0.7432432432432432,5.0,0.4,L003,0.6166666666666667,28.2972972972973,33.55,1003,0.8666666666666667,25.365384615384617,27.583333333333332,0.6166666666666667,27.0,32.75
1.6666666666666667,1.7037744221031534,0.5,1.4797297297297298,10.0,0.35,L004,0.7,23.11904761904762,28.783333333333335,1004,0.9333333333333333,18.607142857142858,20.166666666666668,0.6166666666666667,28.72972972972973,33.81666666666667
1.7857142857142858,1.4041074513870861,0.625,0.9711538461538461,9.0,0.28,L005,0.5333333333333333,27.125,34.06666666666667,1005,0.8,27.666666666666668,30.533333333333335,0.45,30.555555555555557,36.85
1.25,1.6290996366618336,0.4375,0.7619047619047619,11.0,0.4,L006,0.35,31.666666666666668,38.38333333333333,1006,0.8,30.166666666666668,32.53333333333333,0.38333333333333336,30.956521739130434,37.766666666666666
1.7333333333333334,1.755759850752391,0.65,0.7777777777777778,4.0,0.2692307692307692,L007,0.4166666666666667,33.6,38.5,1007,0.6833333333333333,31.414634146341463,34.766666666666666,0.23333333333333334,35.07142857142857,40.38333333333333
1.5517241379310345,1.4318583479186549,0.5625,0.8257575757575758,10.0,0.3111111111111111,L008,0.6666666666666666,21.475,28.316666666666666,1008,0.9833333333333333,14.508474576271187,14.966666666666667,0.7,24.404761904761905,29.683333333333334
1.5,1.8511996124093817,0.4875,0.9333333333333333,8.0,0.358974358974359,L009,0.6333333333333333,23.44736842105263,30.25,1009,0.9666666666666667,21.5,22.183333333333334,0.6833333333333333,24.902439024390244,30.316666666666666
1.46875,1.583412597987444,0.5875,0.5,6.0,0.2978723404255319,L010,0.5666666666666667,27.352941176470587,33.7,1010,0.7166666666666667,26.232558139534884,30.7,0.45,29.074074074074073,36.18333333333333
1.826086956521739,1.9544068956584644,0.525,1.425,10.0,0.3333333333333333,L011,0.7833333333333333,15.0,20.85,1011,1.0,15.433333333333334,15.433333333333334,0.8166666666666667,20.979591836734695,24.833333333333332
1.4482758620689655,1.5108863515105746,0.525,1.2702702702702702,10.0,0.3333333333333333,L012,0.6333333333333333,25.05263157894737,31.266666666666666,1012,0.9333333333333333,21.017857142857142,22.416666666666668,0.5666666666666667,24.823529411764707,32.266666666666666
