feat_avg_cluster_size,feat_color_entropy,feat_density,feat_floating_potential,feat_max_chain_depth,feat_shot_pressure,level_id,medium_clear_rate,medium_eac,medium_eac_all,seed,strong_clear_rate,strong_eac,strong_eac_all,weak_clear_rate,weak_eac,weak_eac_all
2.466666666666667,0.9952525494396791,0.4868421052631579,2.357142857142857,10.0,0.35135135135135137,L000,1.0,13.283333333333333,13.283333333333333,20260506,1.0,13.766666666666667,13.766666666666667,1.0,13.683333333333334,13.683333333333334
1.7037037037037037,1.9141701112307732,0.6052631578947368,1.4270833333333333,5.0,0.43478260869565216,L001,0.9166666666666666,35.21818181818182,37.28333333333333,20260507,0.9833333333333333,32.47457627118644,32.93333333333333,0.8666666666666667,40.30769230769231,42.93333333333333
1.36,1.9509199309140004,0.4473684210526316,0.4,9.0,0.6176470588235294,L002,0.8666666666666667,17.653846153846153,23.7,20260508,1.0,13.083333333333334,13.083333333333334,0.8333333333333334,19.34,26.616666666666667
2.3076923076923075,1.3382689280764646,0.39473684210526316,1.087719298245614,5.0,0.5666666666666667,L003,0.6,31.416666666666668,39.25,20260509,0.8666666666666667,21.634615384615383,25.55,0.35,33.42857142857143,44.85
3.625,1.402105210308432,0.3815789473684211,1.3371428571428572,10.0,0.6206896551724138,L004,0.45,20.666666666666668,39.0,20260510,0.95,15.421052631578947,17.35,0.5166666666666667,19.838709677419356,36.35
1.68,1.9920139962755843,0.5526315789473685,0.5378787878787878,11.0,0.5238095238095238,L005,0.5666666666666667,39.970588235294116,51.25,20260511,0.8333333333333334,35.34,40.45,0.48333333333333334,36.758620689655174,51.86666666666667
3.0,1.4591479170272448,0.47368421052631576,0.7333333333333333,7.0,0.5277777777777778,L006,0.3333333333333333,36.7,50.233333333333334,20260512,0.6833333333333333,31.878048780487806,39.833333333333336,0.2,41.75,53.95
1.5714285714285714,1.766402170507444,0.4342105263157895,0.5102040816326531,9.0,0.6363636363636364,L007,0.25,35.2,56.05,20260513,0.8166666666666667,34.36734693877551,39.61666666666667,0.35,38.333333333333336,54.36666666666667
3.0833333333333335,1.6389805113040703,0.4868421052631579,1.4,14.0,0.5945945945945946,L008,0.43333333333333335,37.0,53.43333333333333,20260514,0.8,41.541666666666664,46.43333333333333,0.26666666666666666,37.5625,58.416666666666664
3.272727272727273,1.3516441151533922,0.47368421052631576,1.1515151515151516,10.0,0.5,L009,0.6333333333333333,25.44736842105263,35.916666666666664,20260515,0.95,19.771929824561404,21.483333333333334,0.7166666666666667,25.976744186046513,33.916666666666664
