feat_avg_cluster_size,feat_color_entropy,feat_density,feat_floating_potential,feat_max_chain_depth,feat_shot_pressure,level_id,medium_clear_rate,medium_eac,medium_eac_all,seed,strong_clear_rate,strong_eac,strong_eac_all,weak_clear_rate,weak_eac,weak_eac_all
1.8571428571428572,0.9957274520849255,0.325,2.2857142857142856,8.0,0.46153846153846156,L000,1.0,15.266666666666667,15.266666666666667,1000,1.0,12.1,12.1,1.0,17.683333333333334,17.683333333333334
1.4285714285714286,1.5812908992306924,0.5,1.0784313725490196,5.0,0.35,L001,1.0,16.366666666666667,16.366666666666667,1001,0.9833333333333333,13.779661016949152,14.25,0.9833333333333333,19.271186440677965,19.65
1.6363636363636365,1.3921472236645345,0.45,1.595959595959596,10.0,0.3888888888888889,L002,0.9833333333333333,12.610169491525424,13.1,1002,1.0,10.466666666666667,10.466666666666667,0.9833333333333333,15.559322033898304,16.0
1.7272727272727273,1.5810309627563695,0.475,1.1428571428571428,6.0,0.3684210526315789,L003,0.9833333333333333,14.830508474576272,15.283333333333333,1003,1.0,12.083333333333334,12.083333333333334,0.9666666666666667,16.53448275862069,17.383333333333333
1.4615384615384615,0.9980008838722996,0.475,2.282051282051282,11.0,0.3157894736842105,L004,1.0,8.833333333333334,8.833333333333334,1004,1.0,9.2,9.2,1.0,12.15,12.15
1.6470588235294117,1.0,0.35,3.117021276595745,11.0,0.42857142857142855,L005,1.0,7.633333333333334,7.633333333333334,1005,1.0,6.083333333333333,6.083333333333333,1.0,8.883333333333333,8.883333333333333
1.6470588235294117,0.9852281360342515,0.35,2.081081081081081,5.0,0.42857142857142855,L006,1.0,12.5,12.5,1006,1.0,11.0,11.0,1.0,17.983333333333334,17.983333333333334
2.1333333333333333,0.9886994082884974,0.4,2.4625,7.0,0.375,L007,1.0,10.8,10.8,1007,1.0,10.083333333333334,10.083333333333334,1.0,15.1,15.1
1.0526315789473684,1.5709505944546684,0.25,0.44680851063829785,9.0,0.7,L008,0.9833333333333333,16.983050847457626,17.4,1008,1.0,11.166666666666666,11.166666666666666,0.9333333333333333,18.178571428571427,19.766666666666666
1.5625,1.582683189255492,0.625,1.1025641025641026,11.0,0.28,L009,1.0,19.366666666666667,19.366666666666667,1009,0.9833333333333333,18.71186440677966,19.1,0.9833333333333333,24.016949152542374,24.316666666666666
1.6428571428571428,1.985277590509022,0.575,1.4772727272727273,8.0,0.34782608695652173,L010,0.9,26.11111111111111,28.3,1010,0.95,23.49122807017544,24.716666666666665,0.8666666666666667,28.846153846153847,31.4
1.4074074074074074,1.5810309627563695,0.475,0.6274509803921569,5.0,0.3684210526315789,L011,0.9833333333333333,18.25423728813559,18.65,1011,1.0,16.083333333333332,16.083333333333332,0.9833333333333333,18.491525423728813,18.883333333333333
1.2857142857142858,1.584962500721156,0.225,1.3518518518518519,8.0,0.7777777777777778,L012,0.9333333333333333,23.321428571428573,24.566666666666666,1012,0.9666666666666667,15.155172413793103,16.05,0.9166666666666666,27.509090909090908,28.716666666666665
1.76,1.5644050517413437,0.55,0.7435897435897436,11.0,0.3181818181818182,L013,1.0,9.883333333333333,9.883333333333333,1013,1.0,9.05,9.05,0.9833333333333333,19.0,19.383333333333333
1.5714285714285714,1.5644050517413437,0.55,1.1720430107526882,9.0,0.3181818181818182,L014,0.9833333333333333,13.983050847457626,14.45,1014,1.0,14.566666666666666,14.566666666666666,1.0,16.35,16.35
2.08,1.5262349099495227,0.65,1.04,9.0,0.2692307692307692,L015,0.9833333333333333,13.389830508474576,13.866666666666667,1015,1.0,12.45,12.45,0.9833333333333333,17.93220338983051,18.333333333333332
1.4210526315789473,1.5677116575334584,0.675,1.4933333333333334,9.0,0.25925925925925924,L016,1.0,23.45,23.45,1016,1.0,18.2,18.2,0.9666666666666667,23.155172413793103,23.783333333333335
2.0869565217391304,1.5943609377704338,0.6,1.1851851851851851,9.0,0.3333333333333333,L017,0.9333333333333333,19.339285714285715,21.25,1017,1.0,12.433333333333334,12.433333333333334,0.8166666666666667,30.346938775510203,33.583333333333336
1.7692307692307692,1.370862465083061,0.575,1.4705882352941178,9.0,0.34782608695652173,L018,0.9666666666666667,14.862068965517242,15.966666666666667,1018,1.0,10.7,10.7,0.9333333333333333,21.285714285714285,23.066666666666666
1.375,1.5285040787412216,0.55,1.0222222222222221,6.0,0.3181818181818182,L019,1.0,16.466666666666665,16.466666666666665,1019,1.0,15.2,15.2,0.9833333333333333,23.440677966101696,23.75
1.6153846153846154,1.615250265088252,0.525,0.9878787878787879,7.0,0.42857142857142855,L020,0.6,36.888888888888886,43.733333333333334,1020,0.9,27.962962962962962,30.566666666666666,0.5833333333333334,36.57142857142857,43.833333333333336
2.0,1.5099686126368168,0.525,1.2758620689655173,11.0,0.38095238095238093,L021,0.9333333333333333,22.696428571428573,24.383333333333333,1021,0.9666666666666667,18.155172413793103,19.15,0.8833333333333333,23.41509433962264,26.283333333333335
1.3103448275862069,1.8850931455708964,0.475,1.0648648648648649,11.0,0.47368421052631576,L022,0.5833333333333334,35.142857142857146,43.0,1022,0.7666666666666667,31.782608695652176,36.96666666666667,0.5666666666666667,32.94117647058823,42.06666666666667
1.6521739130434783,1.823829807603063,0.475,1.054054054054054,8.0,0.42105263157894735,L023,0.9833333333333333,15.610169491525424,16.15,1023,1.0,11.966666666666667,11.966666666666667,0.8833333333333333,18.9811320754717,22.366666666666667
2.4,1.4284124677945966,0.6,0.7894736842105263,5.0,0.3333333333333333,L024,1.0,7.483333333333333,7.483333333333333,1024,1.0,7.45,7.45,1.0,11.783333333333333,11.783333333333333
1.84,1.5509367889994214,0.575,0.993103448275862,7.0,0.391304347826087,L025,0.8166666666666667,16.367346938775512,23.266666666666666,1025,1.0,12.816666666666666,12.816666666666666,0.7833333333333333,27.319148936170212,33.1
1.1282051282051282,1.7416838940090769,0.55,0.5,6.0,0.36363636363636365,L026,0.95,17.75438596491228,19.266666666666666,1026,0.9833333333333333,14.677966101694915,15.233333333333333,0.8666666666666667,27.73076923076923,30.433333333333334
1.7,1.851226815897192,0.425,0.9857142857142858,8.0,0.47058823529411764,L027,0.8833333333333333,21.471698113207548,24.566666666666666,1027,0.9666666666666667,21.224137931034484,22.116666666666667,0.85,21.0,25.05
1.76,1.8148493701198407,0.55,1.0785714285714285,9.0,0.4090909090909091,L028,0.4,32.166666666666664,45.266666666666666,1028,0.8333333333333334,29.74,33.78333333333333,0.4,41.75,49.1
1.7777777777777777,1.4618602772540858,0.6,1.335483870967742,8.0,0.375,L029,0.8333333333333334,29.52,33.6,1029,0.9166666666666666,27.272727272727273,29.5,0.4166666666666667,36.28,46.61666666666667
